复活之战斗在第三帝国 　　　　世界上再没有比在碧蓝的天空里自由自在的飞翔更享受的事情了。
都市雷电掌控者 　　云氏诊所二楼，是云雷和姐姐云舒的住处。此时，明京的天色将晚，落日余晖不尽，暮云四合。
神话物品专卖店 　　这是一间小小的便民超市，里面没有很大的空间，也没有很多的商品，倒是有些日常用品和蔬菜水果。
仙木传奇 　　跑。
韩娱之灿 　　早上，釜山市，海军三号基地。海军们在这边辛苦的训练当中。基地内的场地训练，或者是出海特殊训练。充满着热血的地方。
直播之女主天敌 　　在一个简陋的出租房中，少年坐在椅子上，一只手伸到身下做莫名的动作，对他就是在抠脚。
画风不对的战锤版英雄联盟 　　（开始前，不知道战锤，也没有战锤概念的书友，可以在百度或者B站搜寻一下——战锤电影，看一下，一部魔法和科幻并存的老电影，主体就是战战战，看完之后，你就会对战锤游戏有一定的了解，不想看电影的书友也可以在游戏网站上面搜索一下战锤两个字，然后就有一堆战锤系列的游戏弹出来，只有你喜欢玩游戏，就总有一款战锤系列的游戏适合你玩。）
网游之异生星皇 　　　　“不成器的家伙。好好的大学不上，偏偏去玩什么游戏。这种不三不四的东西能是什么正当职业。如果你要放弃学业执意要玩那种不正经的玩意儿，就断绝父子关系好了。以后你的死活我不管！”温父被儿子温新气的大发雷霆，本来就患有心脏病的他此时觉得胸闷得厉害，只觉眼前一片的天旋地转，险些一口气没有上来。
三国游戏之回归 　　公元2032年，科技飞速进步，环境破坏也越来越严重。
幻视颠峰 　　　　“嘶……好疼。”
哥斯拉在线 　　“小姐，你说的是真的吗，我……我真的中奖了？”雷文一脸惊讶看着柜台前的销售员小姐。
末日亡灵军团 　　M国境内一基因研究所，因不明原因发生爆炸。
皇家娱乐指南 　　　　周宣拎着手提袋向那个大湖走去，太阳已经偏西，天气依旧非常炎热，他抹了一把额头上的汗，大步走到湖畔，那儿有个摆茶摊的老头，问问现在是什么年代？这已是几天来周宣第三次问这个问题了，他想再次确认一下。
吾乃大官人 　　大京天佑三年六月，扬州府风调雨顺，百姓安乐。城外的葛家村，普通小百姓，都过得富足安康。村中唯一愁眉苦脸的，就属葛王氏母子了。
我要打鬼子 　　“唉哟！好痛啊！我这是在哪里？我怎么感觉被人抬着走啊？”黄峰被痛醒了过来。
火影之失落一族 　　下午的阳光比正午的时候，少了那几分炽热，但是却多了几分让人困乏之感。
万剑破 　　　　沧澜大陆西北域有一个国家名为云梦国，而云梦国东部，座落着一个古老的城市。数百年前，这里诞生了一位立于沧澜大陆顶点的人，此人名为太古凌。
一代战将 　　海军潜艇学院历史系的办公室内。
截教仙 　　　　望着榻上满脸蜡黄，面如死灰一般的道人，陈九公心中不知到底是何滋味。
九死医生 　　　　“许卓，18号病房的病人要出院，你马上处理一下！”
连环杀手在美国 　　作者君看小说也有十多年的历史了，从玄幻到都市、科幻，甚至是女频文，可以说几乎所有类型的书作者君都看过。然而现在发现越来越难以找到符合心意的书了，所以趁着有时间，作者君决定自己写一本让自己满意的书，就当是作者君自己的胡。思。乱。想。吧。
刻之痕 　　“东西带来了么？”
柯南之开门我是警察 　　东京警视厅，刑事部，搜查一科，强行犯搜查三系的办公室。
吾名雷恩 　　阴沉的天空中黑压压的乌云盖在奥尔特伦堡的上空，空气中潮湿的水分子几乎肉眼可见的形成了一片片雾气，来回穿梭在城市的大街小巷中，肆虐着将行人的衣服浸湿。
美食狂人 　　接天莲叶无穷碧，映日荷花别样红。
完美生活 　　2016年中秋这天，秦奋像往常一样天没亮就去上班。
火影之鸣人重生 　　已经当上七代目火影的漩涡鸣人，是木叶忍者村有史以来最忙碌的火影。
娱乐华章 　　北国冬天的风格外的冷冽，扑打在刚刚搭建不久的简易房的窗棱玻璃上，摸着缝隙钻了进去。
无限恐怖之追逐 　　　　无限恐怖之追逐兑换列表
名侦探柯南之哀之守护 　　　　35.新?名探侦コナンメイン?テーマ（バラードヴァージョン）
回到三国去种菜 　　　　东胜神洲，大汉，光和六年十一月十一日，不宜出行，夜，荧星不惑，忽星光大亮坠于北地。
摇摆的前锋 　　对于篮球，石磊还是比较喜欢的，就像大多数人一样，在闲暇的时候，他也会跟三五好友，到篮球场上奋战一番。当然，仅仅是娱乐，石磊从没有想过自己的一生会向着篮球方面发展，毕竟180多一点的身高，平凡的家庭出身，让他从哪一方面看，都不具备这样的条件。
系统练气士 　　皎洁的月光透过破了几个大洞的窗户纸照进了屋内，可以看到地上坑坑洼洼的泥土地。
影帝是怎样炼成的 　　关东睁开眼睛环顾四周。
超级反英雄 　　美国华盛敦白宫的椭圆形办公室，已经将近三个月没睡过好觉的总统先生终于一咬牙，在一份文件上签下他的名字。随后半小时，那份文件先是被发到纽约曼哈顿的联合国总部，然后回到HSD不过是另一栋被成为“三曲翼”的建筑里。在三曲翼最高的那一层里停留了片刻，最后，文件被送到40层以下的另一个大房间里。房间的主人——一位用眼罩遮住一只眼的黑人大汉在接到文件后终于露出了难得的笑容。
超时空微信 　　　　李大成骑着最近刚换的N手三蹦子一路狂飙，尽管是早高峰，路上堵的跟猪大肠的，但李大成仍能凭借自己高超的车技，见缝插针，无孔不入，把一众豪车通通甩在身后，什么宝马路虎布加迪威龙，统统不在话下，在他的三蹦子面前，是马得拴着，是虎得卧着，是龙得盘着。不服？不服就试试，看交警叔叔抓谁。
带着超市去末世 　　“林枫，快点过来送货，牛肉不够了，还要买二十斤。”
武侠横行 　　一望无际的荒芜之地，前世随处可见的绿草、绿树难觅踪影，只剩下透着莫名腐朽气息的枯枝和一丛丛低矮的暗红色植株。
重生之九尾凶猫 　　夜已深，月色半隐，星光在云间忽隐忽现。
都市之极品小道士 　　2017年，神州大地。
潘神的游戏 　　“小鬼们，别打lol了，让叔叔用下好吗？”一个鸡窝头，满脸菜色的青年好声好气地跟霸占着电脑玩得起劲的三个小鬼说道，“叔叔今天还没更新呢，现在都十点了，再不更新叔叔这个月全勤就拿不到了。”
梦回香江做大亨 　　香江是香港的别名，这世上本没有什么带香味儿的江，传说，那是一条小溪，很久很久以前，出海的人有时候会在这里停歇，从这小溪中取水喝，觉得味有甘香，于是便得名香江。
道门生 　　大瑜王朝，南沿郡，某座偏远的小城。
重生之无极大帝 　　　　漆黑的夜，伸手不见五指。
香江纵横之1982 　　”据本台消息，首都时间今日下午十四点三十分，一架隶属于首都航空公司的波音737—800客机从首都起飞，在飞往英国途中，因天气恶劣，能见度很低等原因坠毁“
一拳唐僧 　　“那老鼠精把洞挖到寺外一里了，要不要找个时间把它和洞一起埋了？”
超级直播 　　早上九点，王洋还没起床，精神有些迷糊，隐约记得有什么事没做，忍着头部的剧痛坐了起来，准备穿衣服。
风水大术士 　　天色显得有些阴沉，天空黑漆漆的乌云，依旧还没有散去。
征途 　　延绵万里的清源山自古以来就是蛮荒之地，山中蛇虫猛兽多不胜数，强大妖兽比比皆是，每年不知有多少人葬身山林。但也因此造就了山麓外围一批靠山吃山，以狩猎为生的特殊村落。
英雄联盟之超级外挂系统 　　英雄联盟S6世界总决赛最后一场，这场比赛的胜利将决定着哪边的队伍能够得到S6总冠军的奖杯。
反抗在幻想乡：新章 　　“————！”
龙组兵王 　　军区医院。
医师1879 　　　　“呜……”
海贼王之魔龙 　　海贼王世界，临近无风带的东海海域，一艘海军军舰上，一个布置的并不奢华但却显得大气的宽阔办公室中，一个穿制服的青年正趴在桌子上熟睡着。
崩坏星河 　　　　“华夏日报记者吴凡在天通七号太空港口为您报道：天京时间凌晨三时三十分，在港口杂货仓库db201中，工作人员发现一具女性尸体，经鉴定，死者为华夏著名高等学府特聘教授桃虹。目前死亡原因正在调查之中……”
穿越女主角 　　　　“怎么样，这部新游戏很不错吧？貌似有你最喜欢的妹子类型哦。”
那无限的世界 　　　　大家好我是初次见面的萌新盖饭。
万界侠义系统 　　冰冷，抖动......
明末之虎 　　起风了。
大佬降临 　　今天，是手游“起源”关服的日子。身为长期霸占这款手游包括“单次充值榜”，“累计充值榜”，“等级榜”，“装备榜”等等榜单第一位的氪金大佬，云悠感到十分忧郁。
英雄联盟之王座传奇 　　上海，某万人体育馆。
万能修理铺 　　“你这个蠢货，现在时间已经到了，零件却没有加工出来，你当时可是立了军令状的，现在怎么办？你告诉我怎么办？你知道公司要为这一单生意损失多少钱吗？要损失多大的信誉吗？这些你能负担的起吗？”一声声的咆哮声，不断地从一间办公室中传出，引得在外面办公的众人纷纷张望不止，噤若寒蝉。
娱乐之王座 　　顾文武是一个圈内出名的枪手。这里的枪手不是那种黑社会开枪的枪手，而是从事着替人写剧本写歌的工作的枪手。他的作品署着别人的名，他拿着别人给的钱，这就是他的工作。
亡灵的后裔 　　一轮圆月高悬在夜空，如烟似雾的灰色浮云轻轻抚过，仿佛给它戴上了一层神秘的轻纱。圆月下面，高耸的塔尖仿佛要刺破黑色的苍穹一般，一声古怪而凄凉的鹰鸣划破夜空，塔尖之上出现了一道黑色的鹰影。
至尊美食系统 　　墨非醒了过来，揉揉眼睛，只见室内洁白如新，窗外阳光灿烂，鸟儿在枝头歌唱，没有一点雾霾的迹象。
宠物小精灵之超级改版 　　　　这是一个懒洋洋的下午，在华夏共和国的鲁东省，我们的主人公公山景也同样懒洋洋的。让我们先来介绍一下主人公，公山景姓公山名景，是一个听起来非常文雅的名字。不过他此时的行为可和文雅沾不上什么边，只见他一手拿着最新款的香梨手机正在玩着口袋妖怪系列游戏，一只手拿着著名垃圾快餐店最新推出的新奥尔良烤鸡腿啃着。
